MAE,Sm,wFm,Em
0.9539421200752258,0.02795206462092481,0.07826082261500328,0.2373433136405238
0.4785761833190918,0.2736310039810029,0.19630190709758022,0.2666728905518335
0.519773006439209,0.24588375312267563,0.08819632358947745,0.2520057434437635
0.43593737483024597,0.3002353329021197,0.1813215639719346,0.26982043911739406
0.2785528898239136,0.43731250468576566,0.4595159642275673,0.3906068002720173
0.8173580169677734,0.09726739928811817,0.08339277593635026,0.25095343200984643
0.5070813298225403,0.25613522409833994,0.13346130477226192,0.2561361898803618
0.08383506536483765,0.4608038917978151,0.10123004244514086,0.26037635721315794
0.9371687769889832,0.03625998230588728,0.06895432643434989,0.246056803536424
0.4000912606716156,0.3209525244995873,0.2149924718644824,0.28359282255605056
0.2398558408021927,0.4618789992684893,0.4518016689899187,0.40015559593852
0.4194188714027405,0.3158527843445867,0.2288950028022199,0.2839274787623791
0.36140185594558716,0.38900330434733915,0.3008730302172989,0.3119914878054603
0.7030170559883118,0.15445979514795624,0.08975781648037624,0.24672264126415644
0.48421111702919006,0.28265232980763744,0.2314506344782499,0.26953621821331347
0.5171791315078735,0.24731594381679664,0.08924169817200996,0.2538987014901037
0.700305163860321,0.15585510020857202,0.09026559490753695,0.24848167045748812
0.5224975943565369,0.24775826998347666,0.11762118793469402,0.2547779028852506
0.9827060103416443,0.012752809919374221,0.07260450329393642,0.2476158852084868
0.6337208151817322,0.19353067159316253,0.12423559086447701,0.247882190209062
0.42647460103034973,0.29806884841031267,0.2236139173003411,0.2745350841863573
0.008669262751936913,0.5005031778328012,0.005541786400165734,0.25399005239759614
0.36246150732040405,0.3240415046821925,0.08680593942259059,0.2533203644323493
0.2756730914115906,0.36613424061731803,0.06418546751664456,0.25153182203287505
0.01610705256462097,0.49513567502467876,0.017517997630879634,0.25298882479333534
0.578428328037262,0.24027616722771425,0.22766185748183984,0.2556727729205662
0.786227822303772,0.1133633470289437,0.0853188859697536,0.24862683744353253
0.9611833095550537,0.02566061746582966,0.09295137239406201,0.22630852696937903
0.4304102659225464,0.2884931403629318,0.07382104564086409,0.2526108469590823
0.3747369647026062,0.3731953730366151,0.4294203604350626,0.34983425076082714
0.2826992869377136,0.44233438096105276,0.3718888244061114,0.35438733235913694
0.7852562665939331,0.12837729150686347,0.19567738755391054,0.1900264663902271
0.17265884578227997,0.5296684088558136,0.43120977795276927,0.4022561434720104
0.7737763524055481,0.11832806793257014,0.0785013655983639,0.24946033881871066
0.2756842076778412,0.41555065168741306,0.28944989148720157,0.32140181299876325
0.8117843866348267,0.10111781204476816,0.08880673469454138,0.24435125541018332
0.048908960074186325,0.4996043374008387,0.19872167195702772,0.3767234661558483
0.17406542599201202,0.43844398281944164,0.2651203983049684,0.3327757205719033
0.6789059638977051,0.16517373136232835,0.05971433465287382,0.24979872174555506
0.5671184062957764,0.22076216525400366,0.08596555473371274,0.252387831742623
0.1013306975364685,0.6172316407338088,0.5834988240878584,0.5457047737068152
0.3502994179725647,0.35945676151312345,0.2565918183257254,0.29733406635626614
0.2599736750125885,0.3795787588733669,0.13835147459717775,0.26894069370255125
0.8446048498153687,0.08056286150361486,0.06710969485637971,0.2500959829342624
0.4374881088733673,0.31336784707038823,0.23712521253860305,0.2819471605893539
0.5586893558502197,0.22580373597913211,0.07760011759752425,0.2515265693322368
0.6546711921691895,0.18093932913867708,0.11242216417328099,0.25062273524814294
0.8012290596961975,0.10543736241459113,0.0908154779700882,0.2503283490739725
0.505537748336792,0.25591569292742133,0.11549527678228465,0.2555720495721383
0.4937072694301605,0.28544567093757556,0.24807028572897066,0.2714965816038545
0.5332500338554382,0.2559394516239197,0.30849178129333804,0.27126954383626
0.23518489301204681,0.3856260661410138,0.06105254012704163,0.25200073824013886
0.35499337315559387,0.3467048622341019,0.3363585078822639,0.3232134982511528
0.7396794557571411,0.13364921870202107,0.07319154610262638,0.25022899543016863
0.6988218426704407,0.15535496331001641,0.0824602187311769,0.24996496682157765
0.09303702414035797,0.45925219613989643,0.0555078971596728,0.2549373724560765
0.5258597135543823,0.24831610957070935,0.16401740551932018,0.26025591874148457
0.321321576833725,0.3413042635942033,0.06472263665507907,0.2512930386838339
0.7214353084564209,0.1495076555385217,0.12828867739441602,0.23355243009751386
0.9764633178710938,0.01575639956406575,0.07825713243776784,0.2309592852901568
0.5197505950927734,0.2752962707731434,0.31025036646577936,0.26750476086417835
0.6133821606636047,0.2049891779418744,0.15264546281517866,0.2545068193828507
